# fase 1 · Go — viejo nuevo (overrides por declaración: ruta:línea:col nuevo, posiciones de ANTES del rename)
Abiertos OpenItems
TestRetomaYProximoPasoUsanLaSeccionVigente TestResumeAndNextStepUseCurrentSection
TestSchemaJSONDeclaraLaVersionYLasClavesEmitidas TestSchemaJSONDeclaresVersionAndEmittedKeys
TestSeccionRetomaCortaEnElProximoTitulo TestResumeSectionStopsAtNextHeading
TestSeccionRetomaReconoceTitulosNumeradosYEnMayusculas TestResumeSectionRecognizesNumberedAndUppercaseHeadings
TestSinAvanceSoloValeDentroDeLaEntradaDelDia TestNoProgressOnlyCountsInsideDayEntry
TestUltimosToquesPorGitYWorkingTree TestLastTouchesByGitAndWorkingTree
TestUnaTareaArchivadaNoLaReabreUnaRama TestArchivedTaskIsNotReopenedByBranch
abiertos open
ambientes environments
ancho width
baseDe baseOf
bloque block
cuerpoHoy bodyToday
datos data
declarados declared
desde since
dia day
esHoy isToday
existiaAntes existedBefore
fecha date
fichas briefs
hubo happened
incluirBorrador includeDraft
incluirContenido includeContent
incluirTerminadas includeDone
incompleta incomplete
limite limit
medidas measurements
mes month
metodo method
motivos reasons
nombre name
paso step
pedido requested
porDefecto defaults
porTarea byTask
publicable publishable
quedan remaining
ramas branches
referencia reference
repoRama repoBranch
ruta path
sangria indent
sinRepo withoutRepo
sinTarea withoutTask
sucios dirty
tareas tasks
tocadas touched
tramos slots
uno one
varios many
viajan sent
AmbientesPorDefecto DefaultEnvironments
Clases Classes
ReposPorDefecto DefaultRepos
SECCION SECTION
anatomia anatomy
aplicar apply
ayuda help
bloques blocks
borrador draft
canonAmbiente canonEnvironment
comoJSON asJSON
conTodas withAll
contenido content
crudas raw
cual which
cubierto covered
cuerpoLeido readBody
desdePulso fromPulse
dfEspecifico dfSpecific
dfGenerico dfGeneric
diasArchivar archiveDays
diasDormida dormantDays
diasPregunta questionDays
dormidas dormant
elegida chosen
elegido chosen
emitidas emitted
escapador escaper
espera wait
falta missing
faltan missing
fichasAviso briefsNotice
filas rows
fuente source
guardar save
halladas found
herramientas tools
inicio start
intervalo interval
kbIncomodo kbUncomfortable
lapso span
leidas readEntries
localesCanonicas canonicalLocals
minutos minutes
mirar watch
nombres names
nota note
notaArchivo noteFile
objetivos goals
origen origin
palabrasRe wordsRe
pasos steps
proyectos projects
ramasTaskIDRe branchesTaskIDRe
reAmbiente reEnvironment
reAnotacion reAnnotation
reCita reCitation
reDespliegue reDeploy
reEncabezado reHeading
reFecha reDate
reFechaEnTitulo reDateInTitle
reFechaReg reRecordDate
reLista reList
rePendiente rePending
reProximo reNext
reProximoPaso reNextStep
reRamaPatron reBranchPattern
reRegDia reRecordDay
reRegistro reRecord
reRemoto reRemote
reRetoma reResume
reSeccion reSection
reSiguienteH2 reNextH2
reSinAvance reNoProgress
renumeradas renumbered
sacar remove
seco dryRun
sinTilde withoutAccent
sugerir suggest
sumar sum
tarea task
titulo title
todo everything
todos all
topeFichas briefLimit
ultimo last
abierto open
accion action
activo active
actualizado updated
afectados affected
ahora now
alcance scope
anotaciones annotations
archivos files
asunto subject
avisa warns
campo field
campos fields
canonica canonical
casos cases
celda cell
celdas cells
cerrada closed
clase class
cobertura coverage
como how
compacto compact
completa complete
conTarea withTask
contenedor container
conteos counts
contexto contextInfo
corte cut
creada created
crudo raw
crudos rawItems
cuando when
cubiertos covered
cuerpo body
declarado declared
destino target
destinos targets
detalle detail
dias days
dominio domain
donde where
editada edited
encontradas found
entradas entries
escribir write
estSecs estimatedSecs
estado state
estados states
evento event
falla failure
fallar fail
fallas failures
ficha brief
frena blocks
hijo child
hoy today
linea line
lineas lines
marca mark
medido measured
mejor best
minPorTarea minutesByTask
mostradas shown
muerto dead
nombreDia dayName
notas notes
nueva newItem
orden order
otra other
palabras words
parte part
pasa passes
pendientes pending
porAmb byEnv
porDia byDay
porID byID
porRepo byRepo
previo previous
problema problem
propios own
publico public
pulso pulse
pulsoMin pulseMin
pulsoOK pulseOK
puntaDentro tipInside
que what
quiero want
raiz root
rama branch
ramaConTarea branchWithTask
ramaNombre branchName
rareza rarity
rawComo rawHow
reemplazado replaced
referencias references
regBloque recordBlock
regFecha recordDate
registradas registered
remedida remeasured
resto rest
resultados results
salida output
seccion section
sembrados seeded
sinMarca withoutMark
sinNada empty
slotDe slotOf
solaCerrada onlyClosed
texto text
tieneQA hasQA
tipos kinds
titulos titles
tokRama branchToken
toques touches
tuyasAlla yoursThere
usados used
vencidas overdue
ver show
vieja old
viejo old
vinculadas linked
violaciones violations
Ambiente Environment
Anotaciones Annotations
Archivo File
Asunto Subject
Autor Author
BitacoraMin WorklogMin
BitacoraN WorklogN
Borrador Draft
Clase Class
Como How
Conteos Counts
ContextoHoy ContextToday
Creada Created
Cuerpo Body
Declarado Declared
Dia Day
Dias Days
Disponible Available
Dormida Dormant
Entrega Delivery
Estado State
Faltan Missing
Fecha Date
Fuentes Sources
Hecho Done
Incompletas Incomplete
JobFallido FailedJob
Leido Read
ListaParaJira ReadyForJira
Mediciones Measurements
MedidoEn MeasuredAt
Mergeado Merged
MinutosHoy MinutesToday
Mirar Watch
Motivos Reasons
Nodos Nodes
NodosViejos OldNodes
Nombre Name
Nota Note
Objetivo Goal
PasoFallo FailedStep
Pendientes Pending
PendientesAbiertos OpenPending
PendientesCerrados ClosedPending
PiezasFaltan MissingPieces
Preguntas Questions
Propios Own
ProximoPaso NextStep
Publicacion Publication
PulsoDisponble PulseAvailable
PulsoMinutos PulseMinutes
Que What
Quien Who
Rama Branch
Ramas Branches
RamasDecl DeclaredBranches
RamasPatron BranchPatterns
RamasSinTarea BranchesWithoutTask
Referencia Reference
RegistroHoy RecordToday
Resumen Summary
Retoma Resume
Riesgos Risks
Ruta Path
Seccion Section
Secciones Sections
SinAvance NoProgress
SinTareaMin WithoutTaskMin
SugerirCierre SuggestClose
Tareas Tasks
TieneQA HasQA
Tipo Kind
Titulo Title
TocadoEn TouchedAt
Toque Touch
Trabajo Work
Uso Usage
Validado Validated
Vencidas Overdue
Violaciones Violations
ajustes settings
archivo file
borrados deleted
comunes common
ejemplos examples
epica epic
fechadas dated
pEstado pState
puntaje score
quien who
quiere wants
ramasRoot branchesRoot
Anotacion Annotation
ConteosJSON CountsJSON
DocumentoJSON DocumentJSON
EstadoJSON StateJSON
Ficha Brief
Informe Report
Pendiente PendingItem
PublicacionJSON PublicationJSON
RamaSuelta LooseBranch
RamaTarea TaskBranch
RamasDeTarea TaskBranches
SnapshotRamas BranchSnapshot
Tarea Task
candidata candidate
cliente client
corrida run
entrada entry
fichaCanon canonBrief
fila row
leida readEntry
llave key
objetivo goal
prCrudo rawPR
ramaSnap branchSnap
snapRamas branchesSnap
tareaLocalJSON localTaskJSON
ImportarDeJira ImportFromJira
TareasVinculadas LinkedTasks
VincularTarea LinkTask
artefactosDe artifactsOf
buscar find
cargar load
cargarEntries loadEntries
de of
escribirAnotaciones writeAnnotations
escribirEffort writeEffort
escribirJSON writeJSON
escribirMes writeMonth
mutar mutate
nuevoEffort newEffort
pedir request
privado private
proximoPaso nextStep
refreshRamas refreshBranches
relerSiCambio rereadIfChanged
retoma resume
siguienteEntryID nextEntryID
ultimoRegistro lastRecord
cmd/bitacora/main.go:52:50 slotCount
cmd/pulso/main.go:165:2 seededDays
cmd/pulso/main.go:225:6 dayList
cmd/task-context/main.go:43:2 eventPath
cmd/hoy/main.go:704:2 resumeText
cmd/ramas/main.go:210:2 noMatches
vacias stopWords
TrabajoJSON WorkJSON
fin end
hay found
mal failed
una single
En In
Tema Topic
TemasCanon CanonTopics
temas topics
temasCanon canonTopics
alSprint toSprint
anterior previous
enMain inMain
enSprint inSprint
es seen
finReg recordEnd
gitEn gitIn
hFin endHour
hayClave hasKey
kbGrave kbSevere
reSlugEnRef reSlugInRef
reposEn reposIn
soloJSON onlyJSON
soloMal onlyFailed
soloUna onlyOne
totalBit totalWorklog
amb env
ambs envs
antes before
aviso notice
avisos warnings
Avisos Warnings
clave key
claves keys
cola queue
corta truncate
Decisiones Decisions
hasta until
horas hours
leer readTaskFile
leerEffort readEffort
leerJSON readJSON
leerMD readMD
leerSnap readSnap
meses months
jqlMias myJQL
Numero Number
padre parent
partes parts
patron pattern
Patron Pattern
patrones patterns
prox nextStepText
puntos points
resolver resolve
rutas paths
reSecc reSectionHeading
tabla table
tablas tables
Tablas Tables
tema topic
todas all
localesTodas allLocals
ultima last
nVenc nOverdue
visibles visible
vistas seen
visto seen
vistos seenBranches
viva live
vivas liveTasks
noAlfa noAlpha
tit heading
TestProbeVeCommitYReflog TestProbeSeesCommitAndReflog
errorDelLog errorFromLog
prsDelRepo repoPRs
cmd/hoy/main.go:640:55 readBrief
cmd/hoy/main_test.go:27:2 readBrief
internal/store/ramas.go:449:4 trimmed
cmd/hoy/main.go:798:11 envName
