comercio,ok,entidades,error
#c5e786e8,True,2,
#4bd014d9,False,,"Attempt to read property ""sort"" on null"
#19bd8c16,True,2,
#93dc9116,True,1,
#efad69fc,True,2,
#fb391875,True,2,
#6c402138,False,0,
#1bfb8cd0,False,0,
#30306926,True,1,
#b4722013,True,1,
#bef555b6,True,1,
#f5cd212c,True,1,
#7e8a36ff,True,1,
#f000ca1c,True,1,
#8a238f06,True,1,
#e9f24d11,True,1,
#90dd9620,True,1,
#dea4031b,True,1,
#80a3789a,True,1,
#b8c71c31,True,1,
#3ddc2078,True,1,
#da3904c3,True,1,
#a06ace89,True,1,
#8a253632,True,1,
#454f2946,True,1,
#86aedc9b,True,1,
#4a78b9e1,True,1,
#a93ef1eb,True,1,
#1fcce96a,True,1,
#4eaffc97,True,1,
#667d19c8,True,1,
#07ca82b2,True,1,
#084c77af,True,1,
#20030e5d,True,1,
#4a285b86,True,1,
#a96e18aa,True,1,
#51cdd1e8,True,1,
#6d8be59a,False,0,
#bd043d78,True,1,
#95a5a558,False,0,
#d775d952,False,0,
#83198d9c,True,1,
